AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
21,Bhawanipur-Sorbhog,RANJEET KUMAR DASS,BJP,104150,MANORANJAN TALUKDAR,CPIM,69453,FARHAD ALI,AIUDF,2988,34697,180935,93.89
22,Mandia,SHERMAN ALI AHMED,OTH,94577,ABDUL KHALEQUE,INC,82777,RAFIQUL ISLAM,AIUDF,47587,11800,237255,0.09
23,Chenga,ABDUR RAHIM AHMED,INC,84401,AFTADUR ALI KHAN,OTH,35518,ASHRAFUL HUSSAIN,AIUDF,34859,48883,161988,66.27
24,Barpeta (SC),DIPAK KUMAR DAS,AGP,70344,GAGAN CHANDRA HALOI,OTH,34737,NOTA,OTH,3922,35607,111854,75.18
25,Pakabetbari,JAKIR HUSSAIN SIKDAR,INC,115942,MINAKSHI RAHMAN,AIUDF,64201,DR. TARA PRASAD DAS,AGP,6351,51741,188769,72.14
26,Bajali,DHARMESWAR ROY,AGP,56574,DILIP BARUAH,AJP,30675,NOTA,OTH,2348,25899,91939,65.21
27,Chamaria,REKIBUDDIN AHMED,INC,85056,IMDAD HUSSAIN,AIUDF,43729,MD. NURUL ISLAM,AGP,5363,41327,136443,58.29
28,Boko-Chaygaon (ST),RAJU MESH,BJP,66319,RAMEN SINGH RABHA,INC,31867,GANSENG B. SANGMA,OTH,1092,34452,102233,61.14
29,Palasbari,HIMANGSHU SHEKHAR BAISHYA,BJP,56728,PANKAJ LOCHAN GOSWAMI,AJP,32606,JAYANTA MAHANTA,OTH,1303,24122,94132,50.63
30,Hajo-Sualkuchi (SC),NANDITA DAS,INC,63921,PRAKASH CHANDRA DAS,AGP,50723,ROJY AHMED,OTH,1863,13198,119711,70.52
31,Rangia,BHABESH KALITA,BJP,70249,PRANJIT CHOUDHURY,INC,54486,NOTA,OTH,2400,15763,127135,69.02
32,Kamalpur,DIGANTA KALITA,BJP,52513,SATYABRAT KALITA,INC,37757,ANKUR DAS,OTH,25904,14756,118179,72.42
33,Dispur,PRADYUT BORDOLOI,BJP,86547,MIRA BORTHAKUR GOSWAMI,INC,43393,JAYANTA KUMAR DAS,OTH,18136,43154,152217,82.89
34,Dimoria (SC),DR. TAPAN DAS,AGP,102139,SHRI KISHOR KUMAR BARUAH,INC,45824,KABERI DAS TERAN,OTH,5337,56315,159393,89.33
35,New Guwahati,DIPLU RANJAN SARMAH,BJP,89636,SANTANU BORA,INC,41968,NOTA,OTH,3574,47668,139764,99.9
36,Guwahati Central,VIJAY KUMAR GUPTA,BJP,78688,KUNKI CHOWDHURY,AJP,30149,NOTA,OTH,1413,48539,113537,77.49
37,Jalukbari,HIMANTA BISWA SARMA,BJP,89562,BIDISHA NEOG,INC,26533,NOTA,OTH,2320,63029,120014,70.45
38,Barkhetri,NARAYAN DEKA,BJP,68338,DIGANTA BARMAN,INC,67960,NOTA,OTH,1201,378,139190,69.37
39,Nalbari,JAYANTA MALLABARUAH,BJP,82674,ASHOK KUMAR SARMA,INC,36098,NOTA,OTH,1835,46576,122560,67.62
40,Tihu,CHANDRAMOHAN PATOWARY,BJP,49730,RATUL PATOWARY,INC,28857,NOTA,OTH,1151,20873,80620,45.24
41,Manas,THANESWAR BASUMATARY,BPF,59145,ANJAN TALUKDAR,RD,26162,JWNGSRANG BRAHMA,OTH,21009,32983,117006,66.66
42,Baksa (ST),MANESWAR BRAHMA,BPF,65669,RAKESH BRAHMA,OTH,28380,JAGADISH MADAHI,INC,6507,37289,116956,73.61
43,Tamulpur (ST),BISWAJIT DAIMARY,BJP,56635,PRAMOD BORO,OTH,44957,RAFEL DAIMARY,INC,13022,11678,121910,68.56
44,Goreswar,VICTOR KUMAR DAS,BJP,69690,PABITRA KUMAR BARO,OTH,16967,BAPURAM BORO,CPIM,12544,52723,109978,64.83
45,Bhergaon,MAHESWAR BARO,BPF,57873,NERSWN BORO,OTH,25519,PRABHAT DAS PANIKA,OTH,21683,32354,118712,89.51
46,Udalguri (ST),RIHON DAIMARI,BPF,63067,DIPEN BORO,OTH,40805,SUREN DAIMARI,INC,6298,22262,114648,82.26
47,Mazbat,CHARAN BORO,BPF,84718,PRITI REKHA BARLA,OTH,29172,NARAYAN ADHIKARI,INC,23558,55546,158399,99.9
48,Tangla,BIKAN CHANDRA DEKA,BJP,83807,ROHIT PARIGA,INC,29030,JAYANTA KUMAR RABHA,OTH,28094,54777,152259,99.75
49,Sipajhar,PARAMANANDA RAJBONGSHI,BJP,73306,BINANDA KUMAR SAIKIA,INC,49175,NOTA,OTH,1780,24131,125740,70.89
50,Mangaldai,NILIMA DEVI,BJP,89309,RIJUMONI TALUKDAR,INC,53737,AZIZUR RAHMAN,AIUDF,1574,35572,148329,81.88
51,Dalgaon,MAZIBUR RAHMAN,AIUDF,140200,MD AYNUL HOQUE,OTH,113691,KRISHNA SAHA,BJP,16803,26509,290300,95.72
52,Jagiroad (SC),PIJUSH HAZARIKA,BJP,139513,SRI BUBUL DAS,INC,59906,NOTA,OTH,2689,79607,202108,92.41
53,Laharighat,DR ASIF MOHAMMAD NAZAR,INC,88277,SIDDIQUE AHMED,AIUDF,67039,MD KHALILUR RAHMAN,AGP,11487,21238,169481,58.04
54,Morigaon,RAMA KANTA DEWRI,BJP,79772,BANI KANTA DAS,AJP,38040,NOTA,OTH,1488,41732,122732,69.73
55,Dhing,MEHBOOB MUKTAR,RD,85965,MATIUR RAHMAN,AIUDF,36071,MUKUT KUMAR DEBNATH,BJP,3965,49894,130992,59.7
56,Rupahihat,NURUL HUDA,INC,71475,AMINUL ISLAM,AIUDF,41408,JAKIR HUSSAIN FARAJI,AGP,3911,30067,119030,54.2
57,Kaliabor,KESHAB MAHANTA,AGP,52482,JITEN GOUR,OTH,35433,PRADIP KUMAR BARUAH,RD,21090,17049,111210,68.15
58,Samaguri,TANZIL HUSSAIN,INC,86239,ANIL SAIKIA,BJP,23048,ABDUL AZIZ,AIUDF,14042,63191,125264,59.02
59,Barhampur,JITU GOSWAMI,BJP,40036,RAJEN GOHAIN,AJP,30885,MAZIBUR RAHMAN,AIUDF,2702,9151,78661,40.25
60,Nagaon-Batadraba,RUPAK SARMAH,BJP,101338,DURLAV CHAMUA,INC,44166,NOTA,OTH,1754,57172,148204,88.54
61,Raha (SC),UTPAL BANIA,INC,59000,SASHI KANTA DAS,BJP,48304,MUKUT DAS,AIUDF,1724,10696,110607,53.38
62,Binnakandi,MOHAMMED BADRUDDIN AJMAL,AIUDF,60938,REJAUL KARIM CHOWDHURY,AJP,39945,SHAHAB UDDIN MAJUMDAR,AGP,8649,20993,114816,48.64
63,Hojai,SHILADITYA DEV,BJP,108138,JHILLI CHOWDHURY,INC,43183,NOTA,OTH,1783,64955,153104,68.67
64,Lumding,SIBU MISRA,BJP,64344,SWAPAN KAR,INC,44868,JASHADA DULAL RAKSHIT,OTH,3413,19476,114562,52.84
65,Dhekiajuli,ASHOK SINGHAL,BJP,53054,BATASH ORANG,INC,24657,ANSUMA BASUMATARY,OTH,4008,28397,85995,46.05
66,Barchalla,RITU BARAN SARMAH,BJP,38410,RIPUN BORA,INC,31481,ABUL MAJAN,OTH,5714,6929,78719,49.81
67,Tezpur,PRITHIRAJ RAVA,AGP,68638,ALOK NATH,RD,50137,PALLABI SAIKIA,OTH,4941,18501,127296,86.78
68,Rangapara,KRISHNA KAMAL TANTI,BJP,47368,KARTIK CHANDRA KURMI,INC,13403,MATHEW TOPNO,OTH,9508,33965,73018,51.01
69,Naduar,PADMA HAZARIKA,BJP,93912,SUNIL KUMAR CHHETRI,INC,39793,NOTA,OTH,2297,54119,136002,79.66
70,Biswanath,PALLAB LOCHAN DAS,BJP,39455,JAYANTA BORAH,INC,24314,TEHARU GOUR,OTH,6312,15141,72083,45.03
71,Behali (SC),MUNINDRA DAS (BAPTI),BJP,78806,GYANENDRA SARKAR,CPI,24452,AJOY KUMAR SINGHA,OTH,11141,54354,119247,90.35
72,Gohpur,UTPAL BORAH,BJP,64161,SANKAR JYOTI KUTUM,INC,29905,NITYANANDA BASUMATARY,OTH,1844,34256,98336,67.47
73,Bihpuria,BHUPEN KUMAR BORAH,BJP,48217,NARAYAN BHUYAN,INC,45850,NOTA,OTH,874,2367,95892,68.76
74,Rongonadi,RISHIRAJ HAZARIKA,BJP,59612,JAYANTA KHAUND,INC,35318,PAWAN SAUTAL,OTH,10645,24294,108270,67.78
75,Nowboicha (SC),DR. JOY PRAKASH DAS,INC,70355,BASANTA DAS,AGP,46922,ACHYUT DAS,OTH,941,23433,119843,78.25
76,Lakhimpur,MANAB DEKA,BJP,60595,GHANA BURAGOHAIN,INC,39568,NOTA,OTH,1024,21027,102791,72.41
77,Dhakuakhana (ST),SHRI NABA KUMAR DOLEY,BJP,60588,ANANDA NARAH,INC,29479,NOTA,OTH,806,31109,91660,67.69
78,Dhemaji (ST),DR. RANOJ PEGU,BJP,83649,SRI SAILEN SONOWAL,INC,51420,SRI NARENDRA KUMAR PAW,OTH,3550,32229,142976,99.9
79,Sissibargaon,JIBAN GOGOI,BJP,75758,DULAL CHANDRA BORUAH,RD,35165,NANDIGIRI BHUYAN,OTH,26890,40593,145491,99.9
80,Jonai (ST),BHUBON PEGU,BJP,127661,RAJU KUMAR MEDOK,INC,48703,NOTA,OTH,2391,78958,178755,99.9
81,Sadiya,BOLIN CHETIA,BJP,54062,JAGADISH BHUYAN,AJP,30575,NOTA,OTH,1251,23487,88237,55.44
82,Doom Dooma,RUPESH GOWALA,BJP,79266,DURGA BHUMIJ,INC,28509,NOTA,OTH,4496,50757,112271,92.67
83,Margherita,BHASKAR SHARMA,BJP,60383,RAHUL CHETRY,RD,23064,GARNEL MINZE,OTH,16988,37319,102914,73.84
84,Digboi,SUREN PHUKAN,BJP,55614,DULAL MORAN,RD,21594,BHARAT NAYAK,OTH,17416,34020,100581,86.45
85,Makum,SANJOY KISHAN,BJP,62063,SIBANATH CHETIA,INC,35828,NOTA,OTH,2468,26235,104759,81.09
86,Tinsukia,PULOK GOHAIN,BJP,57962,DEVID PHUKAN,INC,27716,JHONY KIRON NAYAK,OTH,4930,30246,97439,72.02
87,Chabua-Lahowal,BINOD HAZARIKA,BJP,76064,PRANJAL GHATOWAR,INC,32504,BHUPEN SINGH MURARI,OTH,10975,43560,124653,85.19
88,Dibrugarh,PRASANTA PHUKAN,BJP,85859,MAINAK PATRA,AJP,28847,KAMAL HAZARIKA,OTH,8820,57012,126783,81.08
89,Khowang,CHAKRADHAR GOGOI,BJP,58038,LURINJYOTI GOGOI,AJP,50257,BIJU DOWARAH,OTH,3562,7781,115009,87.6
90,Duliajan,RAMESWAR TELI,BJP,64846,DHRUBA GOGOI,INC,55712,PETER MINJ,OTH,7843,9134,130779,91.56
91,Tingkhong,BIMAL BORAH,BJP,82871,BIPUL GOGOI,INC,37389,MAHABIR BASKE,OTH,12587,45482,134990,93.35
92,Naharkatia,TARANGA GOGOI,BJP,75607,PRANATEE PHUKAN,INC,21411,SANJOY BAGH,OTH,7087,54196,107358,86.55
93,Sonari,DHORMESWAR KONWAR,BJP,41112,UTPAL GOGOI,INC,30324,BALDEV TELI,OTH,9236,10788,82704,57.83
94,Mahmora,SURUJ DEHINGIA,BJP,63880,JNYANDIP MOHAN,INC,49472,NOTA,OTH,2628,14408,115980,92.64
95,Demow,SUSANTA BORGOHAIN,BJP,70715,AJOY KUMAR GOGOI,INC,43056,AJOY BORA,CPI,2010,27659,117103,78.56
96,Nazira,AKHIL GOGOI,RD,41538,KUSHAL DOWARI,BJP,33438,PRODIP HAZARIKA,AGP,8482,8100,85514,49.33
97,Sibsagar,MAYUR BORGOHAIN,BJP,64001,DEBABRATA SAIKIA,INC,34639,KANAK GOGOI,CPI,1963,29362,103600,66.47
98,Majuli (ST),BHUBAN GAM,BJP,78324,DR. INDRANEEL PEGU,INC,43024,BHAITY RICHONG,OTH,1019,35300,123325,99.9
99,Teok,BIKASH SAIKIA,AGP,55520,PALLABI SAIKIA GOGOI,INC,40716,NOTA,OTH,2332,14804,98568,61.62
100,Jorhat,HITENDRA NATH GOSWAMI,BJP,69439,GAURAV GOGOI,INC,46257,NOTA,OTH,1319,23182,118297,99.9
101,Mariani,RUPJYOTI KURMI,BJP,47776,GYANASHREE BORA,RD,38285,NOTA,OTH,876,9491,88160,65.38
102,Titabor,DHIRAJ GOWALA,BJP,56813,PRAN KURMI,INC,40653,BHASKAR JYOTI BARUAH,OTH,20567,16160,121314,73.81
103,Golaghat,AJANTA NEOG,BJP,80199,Bitupan Saikia,INC,46285,RUBUL BORAH,OTH,1845,33914,130116,79.24
104,Dergaon,MRIDUL KUMAR DUTTA,BJP,75808,SAGORIKA BORA,INC,43285,PULIN GOGOI,OTH,2249,32523,123487,83.6
105,Bokakhat,ATUL BORA,AGP,59700,HARI PRASAD SAIKIA,RD,15154,PRANAB DOLEY,OTH,12752,44546,102914,76.13
106,Khumtai,MRINAL SAIKIA,BJP,88123,ROSELINA TIRKEY,INC,31883,AMIT NAG,OTH,16377,56240,141321,97.25
107,Sarupathar,BISWAJIT PHUKAN,BJP,85309,JIBAN CHUTIA,AJP,36798,SAHIL MUNDA,OTH,10550,48511,134760,89.85
108,Bokajan (ST),SURJYA RONGPHAR,BJP,60534,RATON ENGTI,INC,43877,NOTA,OTH,1656,16657,109523,85.82
109,Howraghat (ST),LUNSING TERON,BJP,67774,SANJEEB TERON,INC,18763,SARKIRI RONGPHAR,OTH,9098,49011,99864,64.56
110,Howraghat (ST),NISO TERANGPI,BJP,53110,J. I KATHAR,OTH,25588,RAJEN TIMUNG S/O LT. KANGBURA TIMUNG,OTH,2251,27522,85240,59.62
111,Rongkhang (ST),TULIRAM RONGHANG,BJP,62548,AUGUSTINE ENGHEE,INC,18811,WILSON TERANG,OTH,1015,43737,84139,76.8
112,Amri (ST),HABBEY TERON,BJP,41762,BIKRAM HANSE,OTH,20336,NOTA,OTH,1404,21426,64240,80.68
113,Haflong,RUPALI LANGTHASA,BJP,38985,NANDITA GORLOSA,INC,15924,DANIEL LANGTHASA,OTH,12363,23061,67940,51.92
114,Lakhipur,KAUSHIK RAI,BJP,106700,M. SANTI KUMAR SINGHA,INC,24048,NOTA,OTH,2266,82652,133014,87.06
115,Udharbond,RAJDEEP GOALA,BJP,87161,AJIT SINGH,INC,41177,TAPAS DAS,OTH,2102,45984,132790,85.35
116,Katigorah,KAMALAKHYA DEY PURKAYASTHA,BJP,56387,AMAR CHAND JAIN,INC,24772,MD. FAZLUR RAHMAN LASKAR,OTH,802,31615,83578,44.15
117,Borkhola,KISHOR NATH,BJP,95140,AMIT KUMAR KALWAR,INC,42207,AMALENDU DAS,OTH,3188,52933,144223,81.83
118,Silchar,DR. RAJDEEP ROY,BJP,61133,ABHIJIT PAUL,INC,36376,NOTA,OTH,1793,24757,100562,58.68
119,Sonai,AMINUL HAQUE LASKAR,INC,42111,KARIM UDDIN BARBHUIYA,AGP,27371,SHAHAJAHAN LASKAR,OTH,851,14740,72756,45.56
120,Dholai (SC),AMIYA KANTI DAS,BJP,75646,DHRUBAJYOTI PURKAYASTHA,INC,45068,NOTA,OTH,1328,30578,123388,74.9
121,Hailakandi,MILON DAS,BJP,73155,RAHUL ROY,INC,49990,NOTA,OTH,1117,23165,126315,67.63
122,Algapur-Katlicherra,ZUBAIR ANAM MAZUMDER,INC,94419,ZAKIR HUSSAIN LASKAR,AGP,20478,NIJAM UDDIN CHOUDHURY,OTH,2840,73941,124683,55.14
123,Karimganj North,JAKARIA AHMED,INC,52924,SUBRATA BHATTACHARJEE,BJP,38929,CHOUDHURY HIBBUR RASUL USAMA MABRUR,AIUDF,897,13995,94851,42.3
124,Karimganj South,AMINUR RASHID CHOUDHURY,INC,35672,EKBAL HUSSAIN,AGP,9963,AZIZ AHMED KHAN,OTH,6912,25709,54630,23.1
125,Patharkandi,KRISHNENDU PAUL,BJP,68416,KARTIK SENA SINHA,INC,34061,NOTA,OTH,696,34355,104535,69.03
126,Ram Krishna Nagar (SC),BIJOY MALAKAR,BJP,93950,SURUCHI ROY,INC,35245,ANUP KUMAR DAS TALUKDAR,AIUDF,923,58705,132922,70.49
