AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
17,Mananthavady (ST),USHA VIJAYAN,INC,41977,O R KELU,CPI(M),40905,P SHYAMRAJ,BJP,11689,1072,95126,58.65
18,Sulthanbathery (S,I C BALAKRISHNAN,INC,46088,M S VISWANATHAN,CPI(M),34786,KAVITHA A S,BJP,19184,11302,102870,59.13
19,Kalpetta,ADV. T SIDDIQUE,INC,65586,P K ANIL KUMAR,RJD,33682,PRASANTH MALAVAYAL,BJP,13264,31904,115538,67.55
20,Vadakara,K K REMA,OTH,57504,M K BHASKARAN,RJD,43733,ADV. K DILEEP,BJP,10975,13771,115208,81.94
21,Kuttiadi,PARAKKAL ABDULLA,IUML,41219,K. P. KUNHAMMEDKUTTY MASTER,CPI(M),37331,RAMADAS MANALERI,BJP,6860,3888,85718,49.02
22,Nadapuram,K.M. ABHIJITH,INC,37281,ADV.P. VASANTHAM,CPI,31300,C.P. VIPIN CHANDRAN,BJP,4332,5981,73375,39.51
23,Quilandy,ADV. K. PRAVEEN KUMAR,INC,35897,K. DASAN,CPI(M),29135,PRAFUL KRISHNAN,BJP,7992,6762,73462,43.33
24,Perambra,ADV. FATHIMA THAHILIYA,IUML,34685,T. P. RAMAKRISHNAN,CPI(M),28824,M. MOHANAN MASTER,BJP,5206,5861,69242,41.22
25,Balusseri (SC),V.T. SOORAJ,INC,55707,ADV. K.M. SACHINDEV,CPI(M),46213,C.P. SATHEESH,BJP,9362,9494,111860,59.77
26,Elathur,ADV.VIDYA BALAKRISHNAN,INC,36087,A.K.SASEENDRAN S/O KUNJAMBU,NCP,29193,DEVADAS T,BJP,14924,6894,81463,46.8
27,Kozhikode North,THOTTATHIL RAVINDRAN,CPI(M),31534,ADV.K JAYANTH,INC,31479,NAVYA HARIDAS,BJP,26724,55,90929,65.43
28,Kozhikode South,ADV. FYZAL BABU,IUML,22031,AHAMMAD DEVARKOVIL,OTH,19251,T. RANEESH,BJP,18224,2780,59930,47.4
29,Beypore,P.A MOHAMED RIYAS,CPI(M),38258,P V ANVAR S/O SHOUKATHALI,OTH,30999,ADV. PRAKASHBABU,BJP,13131,7259,83557,45.64
30,Kunnamangalam,M.A. RAZAK MASTER,IUML,35592,ADV. P T A RAHIM,OTH,29622,ADV.V. K. SAJEEVAN,BJP,13699,5970,80635,39.28
31,Koduvally,P K FIROS,IUML,41914,SALEEM MADAVOOR,OTH,25232,GIRI PAMBANAL,OTH,5358,16682,73604,45.07
32,Thiruvambadi,C K KASIM,IUML,52597,LINTO JOSEPH,CPI(M),49922,SUNNY THOMAS,OTH,5893,2675,109825,71.2
33,Kondotty,T.P. ASHRAFALI,IUML,35658,DR. P. JIJI,CPI(M),20676,P. SUBRAHMANNIAN,BJP,5729,14982,63084,33.34
34,Ernad,P.K.BASHEER,IUML,58935,ADV.SHAFEER KIZHISSERI,CPI,34066,ADV.N.SREEPRAKASH,BJP,5628,24869,100957,0.06
35,Nilambur,ARYADAN SHOUKATH,INC,72061,U SHARAFALI,OTH,36595,GIRISH MEKKATTU,OTH,7882,35466,119441,63.75
36,Wandoor (SC),A.P ANILKUMAR,INC,44283,DR.K.K DAMODARAN,CPI(M),28932,KUMARADAS,OTH,3227,15351,77706,38.65
37,Manjeri,ADV. M. RAHMATHULLA,IUML,43719,V.M. MUSTHAFA,OTH,22954,PADMASREE AJITH,BJP,5886,20765,75457,40.15
38,Perinthalmanna,NAJEEB KANTHAPURAM,IUML,47261,V.P MOHAMMED HANEEFA,CPI(M),30098,ADV. K.P BABURAJ,BJP,3554,17163,81662,44.33
39,Mankada,MANJALAMKUZHI ALI,IUML,51574,KUNNATH MOHAMED S/O ALI HAJI,OTH,25675,LEJOY MASH,BJP,2700,25899,80724,43.53
40,Malappuram,P.K KUNHALIKUTTY,IUML,45124,K.T. MUJEEB RAHMAN,NCP,15809,ASWATHI GUPTHAKUMAR,BJP,3268,29315,68129,34.98
41,Vengara,K.M. SHAJI,IUML,34425,SABAH KUNDUPUZHAKKAL,OTH,23632,JAYAKRISHNAN. V.N,BJP,3041,10793,62060,36.73
42,Vallikunnu,T V IBRAHIM,IUML,51988,ADV. MUSTHAFA,OTH,22292,PREMKUMAR (PREMAN MASTER),BJP,11089,29696,89523,50.05
43,Tirurangadi,P M A SAMEER,IUML,33508,AJITH KOLADI,CPI,18111,RIJU C RAGHAV,BJP,5590,15397,58361,33.35
44,Tanur,P K NAVAS,IUML,40760,MOHAMED SAMEER T THIRUTHIYIL HOUSE,OTH,27871,DEEPA PUZHAKKAL,BJP,8675,12889,78099,45.61
45,Tirur,KURUKKOLI MOIDEEN,IUML,32490,V.ABDURAHIMAN,CPI(M),23020,K.NARAYANAN MASTER,BJP,1560,9470,57548,29.26
46,Kottakkal,PROF. ABID HUSSAIN THANGAL,IUML,35150,PREETHI KONCHATH,CPI(M),14761,SUBRAMANNIAN C,OTH,2736,20389,54783,28.93
47,Thavanur,ADV. V S JOY,INC,50394,DR. K T JALEEL,OTH,37796,RAVI THELATH,BJP,7635,12598,97788,60.12
48,Ponnani,K.P NOUSHAD ALI,INC,19889,ADV.M.K SAKKEER,CPI(M),18152,MANEESH JANAKEEYAM,OTH,2196,1737,41076,25.56
49,Thrithala,V T BALRAM,INC,25254,M B RAJESH,CPI(M),20451,V UNNIKRISHNAN MASTER,BJP,4142,4803,50746,31.64
50,Pattambi,MUHAMMED MUHASSIN,CPI,46216,T. P. SHAJI,INC,42078,ADV. P. MANOJ,BJP,8249,4138,98398,58.75
51,Shornur,P.MAMMIKUTTY,CPI(M),58093,P.HARIGOVINDAN,INC,48601,ADV. SANKU.T.DAS,BJP,24808,9492,133431,84.59
52,Ottappalam,ADV. K. PREMKUMAR,CPI(M),67404,MAJOR RAVI,BJP,40282,P.K SASI P.K.S S/O PADMINI AMMA,OTH,38167,27122,149055,88.95
53,Kongad(SC),THULASI TEACHER,INC,39219,ADV. K.SANTHAKUMARI,CPI(M),31618,DR. RENU SURESH,BJP,10009,7601,81716,55.73
54,Mannarkkad,ADV. N. SAMSUDHEEN,IUML,53274,MANZIL ABOOBACKER,CPI,36304,ISSAC VARGHESE,OTH,3127,16970,93894,56.28
55,Malampuzha,A PRABHAKARAN,CPI(M),49548,C KRISHNAKUMAR,BJP,36253,A SURESH,INC,30194,13295,117799,73.61
56,Palakkad,RAMESH PISHARODY,INC,32444,SOBHA SURENDRAN,BJP,30919,N.M.R. RAZACK,OTH,15452,1525,79775,54.99
57,Tarur (SC),SUMOD,CPI(M),48591,SUBRAMANIAN K C,INC,37426,SURESHBABU M,BJP,16959,11165,104452,80.07
58,Chittur,ADV. SUMESH ACHUTHAN,INC,43534,ADV. V. MURUGADAS,ISJD,38935,PRANESH RAJENDRAN,BJP,11078,4599,99798,68.55
59,Nemmara,K PREMAN,CPI(M),37502,A. THANKAPPAN,INC,34126,A.N.ANURAG,OTH,11850,3376,84911,57.39
60,Alathur,T M SASI,CPI(M),53706,K M FEBIN,INC,46143,K V PRASANNAKUMAR,BJP,15602,7563,117472,88.82
61,Chelakkara (SC),U R PRADEEP,CPI(M),62557,SIVADASAN (SIVAN VEETTIKUNNU),OTH,37911,K BALAKRISHNAN,BJP,30873,24646,133920,83.19
62,Kunnamkulam,A C MOIDEEN,CPI(M),42898,P T AJAY MOHAN,INC,37326,K R RAJIN,OTH,11137,5572,92624,61.0
63,Guruvayoor,C. H. RASHEED,IUML,21302,N. K. AKBAR,CPI(M),19011,ADV. B. GOPALAKRISHNAN,BJP,6854,2291,48245,30.07
64,Manalur,PROF C RAVINDRANATH,CPI(M),20105,T N PRATHAPAN,INC,19111,ADV K K ANEESHKUMAR,BJP,9890,994,49937,29.6
65,Wadakkanchery,XAVIER CHITTILAPPILLY,CPI(M),59378,P.N. VAISAKH,INC,53235,ADV. T.S ULLAS BABU,BJP,21214,6143,135479,84.27
66,Ollur,K RAJAN,CPI,24212,ADV. SHAJI J KODANKANDATH,INC,18495,BIJOY THOMAS,BJP,6204,5717,49363,32.92
67,Thrissur,RAJAN. J. PALLAN,INC,51874,ALANKODE LEELAKRISHNAN,CPI,28520,PADMAJA VENUGOPAL,BJP,25507,23354,107423,88.02
68,Nattika(SC),GEETHAGOPI,CPI,37383,ADV. SUNIL LALOOR,INC,30952,C.C. MUKUNDAN,BJP,27635,6431,96900,62.36
69,Kaipamangalam,K.K. VALSARAJ,CPI,45660,T.M. NAZAR,INC,38785,ATHULLIAGHOSH VETTIYATTIL,OTH,14047,6875,99997,71.01
70,Irinjalakuda,ADV. THOMAS UNNIYADAN,KC,47117,DR.R.BINDU,CPI(M),42774,SANTHOSH CHERAKULAM,BJP,21394,4343,113311,75.75
71,Puthukkad,K K RAMACHANDRAN,CPI(M),34840,K M BABURAJAN,INC,34043,PARAMESWARAN A (NAGESH),BJP,15561,797,85926,56.55
72,Chalakudy,SANEESHKUMAR JOSEPH,INC,40262,ADV. BIJU S CHIRAYATH,KC(M),28008,ADV. CHARLYPAUL,OTH,8960,12254,78777,58.18
73,Kodungallur,ADV. O J JANEESH,INC,44730,ADV. V R SUNIL KUMAR,CPI,43792,DR. VARGHESE GEORGE,OTH,18905,938,108953,75.03
74,Perumbavoor,MANOJ MOOTHEDAN,INC,46709,BASIL PAUL,KC(M),26676,JIBI PATHICKAL,OTH,14229,20033,89549,61.77
75,Angamaly,ROJI M JOHN,INC,24365,SAJU PAUL,CPI(M),13356,PROMY KURIAKOSE,OTH,2474,11009,40510,31.44
76,Aluva,ANWAR SADATH,INC,22315,ADVOCATE A.M.ARIFF,CPI(M),14567,M.A.BRAHMARAJ,BJP,5021,7748,42361,26.98
77,Kalamassery,ADV. V E ABDUL GAFOOR,IUML,22205,P RAJEEVE,CPI(M),17599,BINU,OTH,3989,4606,44770,27.75
78,Paravur,ADV.V.D.SATHEESAN,INC,32831,E.T.TAISON MASTER,CPI,27519,VALSALA PRASANNAKUMAR,BJP,7669,5312,68785,43.79
79,Vypeen,TONY CHAMMANY,INC,49144,ADV. M. B. SHYNI,CPI(M),39650,ANITHA THOMAS,OTH,10524,9494,100454,77.37
80,Kochi,MOHAMMED SHIYAS,INC,32339,K.J. MAXY,CPI(M),26864,ADV. XAVIER JULAPPAN,OTH,7875,5475,68400,51.39
81,Thripunithura,DEEPAK JOY,INC,19662,K N UNNIKRISHNAN,CPI(M),13444,ANJALI .P. V,OTH,7824,6218,41745,27.29
82,Ernakulam,T.J VINOD,INC,54078,SABU GEORGE,OTH,22350,P.R. SIVASANKAR,BJP,17454,31728,95761,89.93
83,Thrikkakara,UMA THOMAS,INC,47153,ADV. PUSHPA DAS,CPI(M),18478,AKHIL RAJ (AKHIL MARAR),OTH,13251,28675,80260,57.71
84,Kunnathunad (SC),V. P. SAJEENDRAN,INC,40002,ADV. P. V. SREENIJIN,CPI(M),27251,BABU DIVAKARAN,OTH,23421,12751,91467,57.77
85,Piravom,ANOOP JACOB,KC(M),57866,SABU K JACOB,KC(M),29939,JIBI ABRAHAM,OTH,10897,27927,100822,67.5
86,Muvattupuzha,DR. MATHEW KUZHALNADAN,INC,60446,N ARUN,CPI,32474,SUNNY KADOOTHAZHE,OTH,6656,27972,100487,69.07
87,Kothamangalam,SHIBU THECKUMPURAM,KC,39961,ANTONY JOHN,CPI(M),29832,AJI NARAYANAN,OTH,4230,10129,74953,54.96
88,Devikulam (SC),ADV. A. RAJA,CPI(M),19308,F. RAJA,INC,18252,S.RAJENDRAN,BJP,6390,1056,44394,40.07
89,Udumbanchola,ADV. SENAPATHY VENU,INC,49708,K.K. JAYACHANDRAN,CPI(M),34258,ADV. SANGEETHA VISWANADHAN,OTH,7285,15450,92296,77.23
90,Thodupuzha,APU JOHN JOSEPH,KC,51691,CYRIAC CHAZHIKADAN,KC(M),23778,ADV. ROY VARICATTU,OTH,8566,27913,89146,62.25
91,Idukki,ROY K PAULOSE,INC,47485,ROSHY AUGUSTINE,KC(M),30314,ADV. PRATHEESH PRABHA,OTH,6197,17171,85157,67.3
92,Peerumade,ADV.CYRIAC THOMAS,INC,48873,K SALIMKUMAR,CPI,27226,RATHEESH VARAKUMALA,BJP,6714,21647,84009,69.23
93,Pala,MANI C KAPPEN,OTH,29473,JOSE K MANI,KC(M),24935,SHONE GEORGE,BJP,19620,4538,75061,56.62
94,Kaduthuruthy,ADV.MONS JOSEPH,KC,47455,NIRMALA JIMMY,KC(M),26292,SURESH ETTIKUNNEL,OTH,7881,21163,83860,68.84
95,Vaikom (SC),K BINIMON,INC,44519,P PRADEEP,CPI,44132,K AJITH,BJP,17115,387,106939,86.46
96,Ettumanoor,NATTAKOM SURESH,INC,45463,V. N. VASAVAN,CPI(M),28077,ATHIRA D NAIR,OTH,9637,17386,84218,69.94
97,Kottayam,THIRUVANCHOOR RADHAKRISHNAN,INC,34022,ADV.K. ANILKUMAR,CPI(M),14876,P ANILKUMAR,OTH,4696,19146,54862,49.1
98,Puthuppally,ADV. CHANDY OOMMEN,INC,63723,K. M. RADHAKRISHNAN,CPI(M),23560,RAVEENDRANATH VAKATHANAM,BJP,9216,40163,97649,77.78
99,Changanassery,VINU JOB KUZHIMANNIL,KC,38318,ADV. JOB MAICHIL,KC(M),32651,B RADHAKRISHNA MENON,BJP,9250,5667,81980,68.79
100,Kanjirappally,RONY K BABY,INC,30574,DR. N. JAYARAJ,KC(M),28441,ADV. GEORGE KURIAN,BJP,17004,2133,76877,57.82
101,Poonjar,ADV.SEBASTIAN M.J,INC,30897,ADV. SEBASTIAN KULATHUNKAL,KC(M),27560,P.C. GEORGE,BJP,19056,3337,78210,55.01
102,Aroor,ADV. SHANIMOL OSMAN,INC,32126,DALEEMA,CPI(M),25277,ADV. P.S. JYOTHIS,OTH,6743,6849,65000,40.73
103,Cherthala,P. PRASAD,CPI,44658,K.R. RAJENDRA PRASAD,INC,38583,ADV. T.P. ANANTHARAJ,OTH,10251,6075,94762,56.05
104,Alappuzha,A.D THOMAS,INC,41061,P.P.CHITHARANJAN,CPI(M),33008,M.J JOB,BJP,7872,8053,82515,52.9
105,Ambalappuzha,G.SUDHAKARAN,OTH,25405,H. SALAM,CPI(M),17631,ARUN ANIRUDHAN,BJP,4903,7774,48702,35.23
106,Kuttanad,REJI CHERIYAN,KC,20170,THOMAS K. THOMAS,NCP,15089,SANTHOSH SANTHI,OTH,7179,5081,43551,39.37
107,Haripad,RAMESH CHENNITHALA,INC,59254,T.T.JISMON,CPI,38701,SANDHEEP VAACHASPATHI,BJP,27045,20553,125682,88.68
108,Kayamkulam,ADV.M.LIJU,INC,32641,ADV.U.PRATHIBHA,CPI(M),25900,THAMPI METTUTHARA,OTH,7354,6741,66164,43.39
109,Mavelikkara (SC),M.S. ARUN KUMAR,CPI(M),34456,ADV. MUTHARA RAJ,INC,25961,K. AJIMON,BJP,13046,8495,73928,52.9
110,Chengannur,SAJI CHERIAN,CPI(M),21078,ADV. ABI KURIAKOSE,INC,19897,M. V .GOPAKUMAR,BJP,12250,1181,53645,39.77
111,Thiruvalla,ADV.VARGHESE MAMMEN,KC,25102,ADV. MATHEW T THOMAS,OTH,19601,ANOOP ANTONY,BJP,17417,5501,63365,45.97
112,Ranni,ADV. PAZHAKULAM MADHU,INC,16408,ADV. PRAMOD NARAYAN,KC(M),15671,THOMAS K SAMUEL (BLESSON),OTH,4724,737,37069,30.53
113,Aranmula,ABIN VARKEY KODIYATTU,INC,33038,VEENA GEORGE,CPI(M),24875,KUMMANAM RAJASEKHARAN,BJP,19157,8163,77646,50.47
114,Konni,ADV K U JENISH KUMAR,CPI(M),23123,PROF SATHEESH KOCHUPARAMBIL,INC,19939,SUNDARESAN T P,OTH,4493,3184,47915,36.13
115,Adoor (SC),ADVOCATE C V SANTHAKUMAR,INC,24908,PRIJI KANNAN,CPI,22313,ADV. PANDALAM PRATHAPAN,BJP,11840,2595,59628,40.32
116,Karunagappally,C.R. MAHESH,INC,36531,ADV.M.S. THARA,CPI,23672,V.S. JITHIN DEV,BJP,15439,12859,76374,45.17
117,Chavara,SHIBU BABY JOHN,RSP,56372,DR.SUJITH VIJAYANPILLAI,OTH,42673,K.R.RAJESH,BJP,7416,13699,107397,77.08
118,Kunnathur (SC),ULLAS KOVUR,RSP,50882,KOVOOR KUNJUMON,RSP,34730,RAJI PRASAD,BJP,15578,16152,102157,63.83
119,Kottarakkara,K.N. BALAGOPAL,CPI(M),25497,ADV.P. AISHA POTTY,INC,24344,R. RESMI,BJP,9856,1153,60237,41.49
120,Pathanapuram,JYOTHI KUMAR CHAMAKKALA,INC,37371,K B GANESH KUMAR,KC,33354,ANIL PILLAI,OTH,3734,4017,75757,56.06
121,Punalur,C. AJAYAPRASAD,CPI,51493,NOUSHAD YOUNUS,IUML,34169,ADV. REGHUNADH KAMUKUMCHERY,OTH,11600,17324,100786,71.91
122,Chadayamangalam,M. M. NASEER,INC,32380,J. CHINCHURANI,CPI,28430,R.S. ARUNRAJ,BJP,9824,3950,72242,48.12
123,Kundara,P. C. VISHNUNADH,INC,45456,S. L. SAJIKUMAR,CPI(M),28998,DR. ROBIN RADHAKRISHNAN,BJP,10143,16458,85581,52.99
124,Kollam,ADV. BINDHU KRISHNA,INC,54667,S. JAYAMOHAN,CPI(M),40275,DR. PRATHAP KUMAR N,BJP,15836,14392,111754,87.72
125,Eravipuram,ADV.VISHNU MOHAN,RSP,42703,M.NOUSHAD,CPI(M),35341,SAJEE D ANAND,OTH,6840,7362,86201,66.01
126,Chathannoor,ADV.R.RAJENDRAN,CPI,22841,B.B.GOPAKUMAR,BJP,22178,SOORAJ RAVI,INC,19822,663,65633,48.86
127,Varkala,ADV.V JOY,CPI(M),27241,VARKALA KAHAR,INC,25773,ADV.SMITHA SUNDARESAN,BJP,11995,1468,66171,48.82
128,Attingal (SC),O.S AMBIKA,CPI(M),31537,ADV. P SUDHEER,BJP,22988,SANTHOSH BHADRAN,RSP,21418,8549,78156,53.49
129,Chirayinkeezhu,MANOJ EDAMANA,CPI,28861,RAMYA HARIDAS,INC,26776,B. S. ANOOP,BJP,19032,2085,75817,52.37
130,Nedumangad,G R ANIL,CPI,28752,MEENANKAL KUMAR,INC,20654,YUVRAJ GOKUL,BJP,17115,8098,67854,43.72
131,Vamanapuram,MUHAMMED SUDHEERSHA S,INC,35992,MURALEEDHARAN NAIR D K,CPI(M),28700,VENU,OTH,5008,7292,70595,48.52
132,Kazhakoottam,V. MURALEEDHARAN,BJP,18117,KADAKAMPALLY SURENDRAN,CPI(M),18109,ADVOCATE T. SARATHCHANDRA PRASAD,INC,13300,8,50198,38.8
133,Vattiyoorkavu(SC),ADV. V.K PRASANTH,CPI(M),20109,K. MURALEEDHARAN,INC,20075,R. SREELEKHA,BJP,16566,34,57305,45.08
134,Thiruvananthapura,C P JOHN,OTH,20678,KARAMANA JAYAN,BJP,18202,SUDHIR KARAMANA,OTH,16058,2476,56680,47.74
135,Nemom,RAJEEV CHANDRASEKHAR,BJP,19636,V SIVANKUTTY,CPI(M),15402,ADV K S SABARINADHAN,INC,10508,4234,45948,33.29
136,Aruvikkara,ADV. G. STEEPHEN,CPI(M),30255,V. S. SIVAKUMAR,INC,28920,VIVEK GOPAN,BJP,11409,1335,71578,49.9
137,Parassala,C K HAREENDRAN,CPI(M),27497,NEYYATTINKARA SANAL,INC,20107,ADV. GIREESH NEYYAR,BJP,12893,7390,61149,40.28
138,Kattakkada,M. R. BAIJU,INC,17622,ADV. I. B. SATHEESH,CPI(M),14773,P. K. KRISHNADAS,BJP,12249,2849,45119,31.56
139,Kovalam,ADV. M.VINCENT,INC,24204,BHAGATH RUFUS,OTH,16751,KOVALAM.T.N.SURESH,BJP,12339,7453,54500,35.89
140,Neyyattinkara,K. ANSALAN,CPI(M),32416,N. SHAKTHAN,INC,31666,CHENKAL RAJASEKHARAN,BJP,15476,750,80327,61.89
