AC_NO,Constituency,win_cand,win_party,win_votes,sec_cand,sec_party,sec_votes,thi_cand,thi_party,thi_votes,margin,tot_votes,votes_pct
42,HARIRAMPUR,BIPLAB MITRA,TMC,93098,DEBABRATA MAJUMDER,BJP,91112,SUBHASISH PAL (SONA),INC,8462,1986,204074,99.9
43,HABIBPUR (ST),JOYEL MURMU,BJP,142062,AMAL KISKU,TMC,63874,BASUDEV MURMU,CPIM,8725,78188,227613,99.9
44,GAZOLE (SC),CHINMOY DEB BARMAN,BJP,131541,PRASENJIT DAS,TMC,93349,KSHITISH CHANDRA SARKAR,CPIM,5949,38192,243885,99.9
45,CHANCHAL,PRASUN BANERJEE,TMC,128014,RATAN DAS,BJP,64140,ASIF MEHBUB,INC,16336,63874,234409,99.9
46,HARISCHANDRAPUR,MD. MATIBUR RAHAMAN,TMC,113104,RATAN DAS,BJP,64833,MOSTAQUE ALAM,INC,31431,48271,227099,99.9
47,MALATIPUR,ABDUR RAHIM BOXI,TMC,104123,MAUSAM B NOOR,INC,44376,ASHIS DAS,BJP,43346,59747,202035,99.9
48,RATUA,SAMAR MUKHERJEE,TMC,106834,ABISHEK SINGHANIA,BJP,74272,ALAM MOTTAKIN,INC,31525,32562,233138,99.9
49,MANIKCHAK,GOUR CHANDRA MANDAL,BJP,110118,KABITA MANDAL,TMC,96180,ANSARUL HAQUE (KALU),INC,9201,13938,225363,99.9
50,MALDAHA (SC),GOPAL CHANDRA SAHA,BJP,123656,LIPIKA BARMAN GHOSH,TMC,73528,BHUPENDRA NATH HALDER (ARJUN),INC,12977,50128,220797,99.9
51,ENGLISH BAZAR,AMLAN BHADURI (BURO),BJP,154096,ASIS KUNDU (PATA),TMC,60312,AMBAR MITRA,CPIM,7122,93784,234560,99.9
52,MOTHABARI,ISLAM MD NAJRUL,TMC,65705,NIBARAN GHOSH,BJP,55209,SAYEM CHOWDHURY (BABU),INC,27451,10496,162178,99.9
53,SUJAPUR,SABINA YEASMIN,TMC,112795,ABDUL HANNAN,INC,52508,MD. KARIMULLAH HAQUE,OTH,29026,60287,227125,99.9
54,BAISNABNAGAR,RAJU KARMAKAR,BJP,108692,CHANDANA SARKAR,TMC,61811,MAMUNI MANDAL,INC,46450,46881,224839,99.9
55,FARAKKA,MOTAB SHAIKH,INC,63050,SUNIL CHOWDHURI,BJP,54857,AMIRUL ISLAM,TMC,47256,8193,174841,99.9
56,SAMSERGANJ,MOHAMMED NOOR ALAM,TMC,61918,MD NAJME ALAM,INC,54331,SASTI CHARAN GHOSH,BJP,34522,7587,155430,99.9
57,SUTI,EMANI BISWAS,TMC,81330,MAHABIR GHOSH,BJP,68973,ALFAJUDDIN BISWAS,INC,61344,12357,220852,99.9
58,JANGIPUR,CHITTA MUKHERJEE,BJP,91201,JAKIR HOSSAIN,TMC,80659,MOHAMMAD IMRAN ALI,INC,31228,10542,212606,99.9
59,RAGHUNATHGANJ,AKHRUZZAMAN,TMC,88909,NASIR SAIKH,INC,48354,SUROJIT PODDAR,BJP,35184,40555,194765,99.9
60,SAGARDIGHI,BAYRON BISWAS,TMC,90781,TAPAS KUMAR CHAKRABORTY,BJP,56521,MASIUR RAHAMAN,OTH,42495,34260,207660,99.9
61,LALGOLA,ABDUL AZIZ DOCTOR,TMC,67954,TOUHIDUR RAHAMAN SUMAN,INC,48994,AMAR KUMAR DAS,BJP,35496,18960,180167,99.9
62,BHAGABANGOLA,REYAT HOSSAIN SARKAR,TMC,105997,MAHAMUDAL HASAN,CPIM,49590,ANJU BEGAM,INC,29440,56407,218216,99.9
63,RANINAGAR,JULFIKAR ALI,INC,79423,ABDUL SOUMIK HOSSAIN,TMC,76722,JAMAL HOSSAIN,CPIM,48587,2701,237202,99.9
64,MURSHIDABAD,GOURI SANKAR GHOSH,BJP,114443,SHAONI SINGHA ROY,TMC,82922,ALI SIDDIQUE,INC,16124,31521,237534,99.9
65,NABAGRAM (SC),DILIP SAHA,BJP,78739,PRONAB CHANDRA DAS,TMC,72820,HIRU HALDAR,INC,50144,5919,221580,99.9
66,KHARGRAM (SC),MITALI MAL,BJP,77748,ASHIS MARJIT,TMC,68415,DHRUBAJOTI SAHA,CPIM,41944,9333,204477,99.9
67,BURWAN (SC),SUKHEN KUMAR BAGDI,BJP,91661,PROTIMA RAJAK,TMC,69361,SANJIT DAS,INC,18440,22300,188917,99.9
68,KANDI,GARGI DAS GHOSH,BJP,73355,APURBA SARKAR (DAVID),TMC,63020,SHAMIM RANA,INC,31160,10335,199460,99.9
69,BHARATPUR,MUSTAFIJUR RAHAMAN (SUMAN),TMC,90870,ANAMIKA GHOSH,BJP,60117,AZHERUDDIN MD (SIZAR),INC,51321,30753,214424,99.9
70,REJINAGAR,HUMAYUN KABIR,OTH,123536,BAPAN GHOSH,BJP,64660,ATAUR RAHAMAN,TMC,41718,58876,239295,99.9
71,BELDANGA,BHARAT KUMAR JHAWAR,BJP,72872,RABIUL ALAM CHOWDHURY,TMC,59664,SHOAIB AHMED,OTH,46709,13208,228591,99.9
72,BAHARAMPUR,SUBRATA MAITRA (KANCHAN),BJP,91088,ADHIR RANJAN CHOWDHURY,INC,73540,NARU GOPAL MUKHERJEE,TMC,49586,17548,224268,99.9
73,HARIHARPARA,NIAMOT SHEIKH,TMC,80338,BIJOY SEKH,OTH,67673,TANMOY BISWAS,BJP,32057,12665,235296,99.9
74,NAODA,HUMAYUN KABIR,OTH,86463,RANA MANDAL,BJP,58520,SAHINA MOMTAZ KHAN,TMC,51867,27943,221600,99.9
75,DOMKAL,MD. MOSTAFIJUR RAHAMAN,CPIM,107882,HUMAYUN KABIR,TMC,91586,BEGAM SAHANAJ,INC,30453,16296,257790,99.9
76,JALANGI,BABAR ALI,TMC,88684,IANUS ALI SARKAR,CPIM,67168,NABA KUMAR SARKAR,BJP,51693,21516,253306,99.9
77,KARIMPUR,SAMARENDRANATH GHOSH,BJP,105234,SOHAM CHAKRABORTY,TMC,95049,PRABHAS MAJUMDAR,CPIM,19334,10185,240916,99.9
78,TEHATTA,SUBRATA KABIRAJ,BJP,112138,DILIP KUMAR PODDAR,TMC,83885,SUBODH CHANDRA BISWAS,CPIM,25629,28253,233588,99.9
79,PALASHIPARA,RUKBANUR RAHMAN,TMC,89241,ANIMA DUTTA,BJP,77787,MD SAMSUR ALI MALLICK,OTH,34584,11454,214650,99.9
80,KALIGANJ,ALIFA AHMED,TMC,89292,BAPAN GHOSH,BJP,79120,SABINA IYASMIN SEKH,CPIM,22806,10172,219023,99.9
81,NAKASHIPARA,SANTANU DEY,BJP,100600,KALLOL KHAN,TMC,83273,SUKLA SAHA,CPIM,13703,17327,205920,99.9
82,CHAPRA,JEBER SEKH,TMC,97085,SAIKAT SARKAR,BJP,66305,JAKIR HOSSAIN MONDAL,OTH,38437,30780,210762,99.9
83,KRISHNANAGAR UTTAR,TARAK NATH CHATTERJEE,BJP,133211,SOMNATH DUTTA,TMC,54850,ADWAITA BISWAS,CPIM,8336,78361,202057,99.9
84,NABADWIP,SRUTISEKHAR GOSWAMI,BJP,108631,PUNDARIKAKSHYA SAHA,TMC,87187,SWARNENDU SINHA,CPIM,15612,21444,218181,99.9
85,KRISHNANAGAR DAKSHIN,SADHAN GHOSH,BJP,102862,UJJAL BISWAS,TMC,75061,LABANI JANGI,OTH,9468,27801,197084,99.9
86,SANTIPUR,SWAPAN KUMAR DAS,BJP,117941,BRAJAKISHORE GOSWAMI,TMC,72565,SOUMEN MAHATO,CPIM,11533,45376,214973,99.9
87,RANAGHAT UTTAR PASCHIM,PARTHA SARATHI CHATTERJEE(BABU),BJP,129046,TAPAS KUMAR GHOSH,TMC,71495,DEBASISH CHAKRABORTY(DEBU),CPIM,10280,57551,217135,99.9
88,KRISHNAGANJ (SC),SUKANTA BISWAS,BJP,139838,SAMIR KUMAR PODDAR,TMC,78939,ARCHANA BISWAS,CPIM,6833,60899,232467,99.9
89,RANAGHAT UTTAR PURBA(SC),ASHIM BISWAS,BJP,126235,BARNALI DEY ROY,TMC,74492,MRINAL BISWAS (MINI),CPIM,4713,51743,211396,99.9
90,RANAGHAT DAKSHIN (SC),ASHIM KUMAR BISWAS,BJP,140010,SOUGATA KUMAR BURMAN,TMC,75546,ARINDAM BISWAS,CPIM,10714,64464,232685,99.9
91,CHAKDAHA,BANKIM CHANDRA GHOSH,BJP,115433,SUBHANKAR SINGHA (JISHU),TMC,78488,NARAYAN DAS GUPTA,CPIM,11086,36945,210720,99.9
92,KALYANI (SC),ANUPAM BISWAS,BJP,114469,DR. ATINDRA NATH MONDAL,TMC,79677,SABUJ DAS,CPIM,15037,34792,215506,99.9
93,HARINGHATA (SC),ASIM KUMAR SARKAR,BJP,107900,DR. RAJIB BISWAS.,TMC,85845,SWAPAN KUMAR SARKAR,CPIM,12370,22055,212756,99.9
94,BAGDA (SC),SOMA THAKUR,BJP,121307,MADHUPARNA THAKUR,TMC,86691,GOUR BISWAS,OTH,4700,34616,217223,99.9
95,BANGAON UTTAR (SC),ASHOK KIRTANIA,BJP,119317,BISWAJIT DAS,TMC,78647,PIJUSH KANTI SAHA,CPIM,8554,40670,211344,99.9
96,BANGAON DAKSHIN (SC),SWAPAN MAJUMDER,BJP,119399,RITUPARNA ADDHYA,TMC,81585,ASISH KUMAR SARKAR,CPIM,6197,37814,212191,99.9
97,GAIGHATA (SC),SUBRATA THAKUR,BJP,121322,NAROTTAM BISWAS,TMC,73639,SAJAL BISWAS,CPIM,9003,47683,209201,99.9
98,SWARUPNAGAR,BINA MONDAL,TMC,94813,TARAK SAHA,BJP,78796,BISWAJIT MONDAL,CPIM,38409,16017,218120,99.9
99,BADURIA,BURHANUL MUKADDIM (LITON),TMC,103334,SUKRITI KUMAR SARKAR,BJP,63273,MD. KUTUBUDDIN FATEHE,OTH,49700,40061,227365,99.9
100,HABRA,DEBDAS MONDAL,BJP,104645,JYOTI PRIYA MALLICK,TMC,73183,RIJINANDAN BISWAS,CPIM,15237,31462,198737,99.9
101,ASHOKNAGAR,DR. SUMAY HIRA,BJP,96807,NARAYAN GOSWAMI,TMC,87399,TAPAS BANERJEE,OTH,29493,9408,219757,99.9
102,AMDANGA,MOHAMMAD KASEM SIDDIQUE,TMC,81670,ARINDAM DEY,BJP,78675,BISWAJIT MAITY,OTH,46181,2995,213502,99.9
103,BIJPUR,SUDIPTA DAS,BJP,71799,SUBODH ADHIKARY,TMC,58456,DEBASISH RAKSHIT,CPIM,10009,13343,144886,99.9
104,NAIHATI,SUMITRO CHATTERJEE,BJP,77484,SANAT DEY,TMC,67054,DEBAJYOTI MAJUMDER,OTH,7727,10430,157664,99.9
105,BHATPARA,PAWAN KUMAR SINGH,BJP,61683,AMIT GUPTA,TMC,38876,ASH NARAYAN SINGH,CPIM,2969,22807,106314,99.9
106,JAGATDAL,DR. RAJESH KUMAR,BJP,94351,SOMENATH SHYAM ICHINI,TMC,73442,PARVEZ AHMAD KHAN,OTH,9062,20909,183193,98.33
107,NOAPARA,ARJUN SINGH,BJP,94415,TRINANKUR BHATTACHARJEE,TMC,76759,GARGI CHATTERJEE,CPIM,17696,17656,195177,99.9
108,BARRACKPUR,KAUSTUV BAGCHI,BJP,78466,RAJ CHAKRABORTY (RAJU),TMC,62644,SUMAN RANJAN BANDYOPADHYAY,CPIM,10197,15822,154918,99.9
109,KHARDAHA,KALYAN CHAKRABORTI,BJP,97752,DEVADEEP PUROHIT,TMC,73266,DEBAJYOTI DAS (SUBHO),CPIM,19818,24486,196505,99.9
110,DUM DUM UTTAR,SOURAV SIKDAR,BJP,103284,CHANDRIMA BHATTACHARYA,TMC,76880,DIPSITA DHAR,CPIM,38428,26404,223349,99.9
111,PANIHATI,RATNA DEBNATH,BJP,87977,TIRTHANKAR GHOSH,TMC,59141,KALATAN DASGUPTA,CPIM,24032,28836,174984,99.9
112,KAMARHATI,MADAN MITRA,TMC,64817,ARUP CHOUDHURY (PULAK),BJP,59171,MANASH MUKHERJEE,CPIM,20203,5646,148272,99.9
113,BARANAGAR,SAJAL GHOSH,BJP,81730,SAYANTIKA BANERJEE,TMC,64774,SAYANDEEP MITRA,CPIM,18689,16956,169347,99.9
114,DUM DUM,ARIJIT BAKSHI,BJP,99181,BRATYABRATA BASU,TMC,73908,MAYUKH BISWAS,CPIM,20576,25273,198098,99.9
115,RAJARHAT NEW TOWN,TAPASH CHATTERJEE,TMC,106250,PIYUSH KANODIA,BJP,105927,SAPTARSHI DEB,CPIM,32245,323,251912,99.9
116,BIDHANNAGAR,SHARADWAT MUKHERJEE,BJP,97979,SUJIT BOSE,TMC,60649,SOUMYAJIT RAHA,CPIM,13956,37330,177484,99.9
117,RAJARHAT GOPALPUR,TARUNJYOTI TEWARI,BJP,101277,ADITI MUNSHI,TMC,73520,SUBHAJIT DASGUPTA,CPIM,16476,27757,195730,99.9
118,MADHYAMGRAM,RATHIN GHOSH,TMC,95995,ANINDYA BANERJEE,BJP,93596,PRIYANKA BARMAN,OTH,35501,2399,232916,99.9
119,BARASAT,SANKAR CHATTERJEE,BJP,122171,SABYASACHI DUTTA,TMC,87613,HEMANTA DAS,OTH,18700,34558,236603,99.9
120,DEGANGA,ANISUR RAHAMAN BIDESH,TMC,101114,MD MOFIDUL HOQUE SAHAJI MINTU,OTH,83296,TARUN KANTI GHOSH,BJP,41726,17818,233473,99.9
121,HAROA,ABDUL MATIN MUHAMMAD,TMC,117591,PIYARUL ISLAM,OTH,68250,BHASKAR KUMAR MONDAL,BJP,41144,49341,237469,99.9
122,MINAKHAN (SC),USHA RANI MONDAL,TMC,92079,RUDRENDRA PATRA,BJP,59787,PRATIK MONDAL,OTH,55753,32292,215848,99.9
123,SANDESHKHALI (ST),SANAT SARDAR,BJP,107189,JHARNA SARDAR,TMC,89679,RABINDRA NATH MAHATA,CPIM,12921,17510,216180,99.9
124,BASIRHAT DAKSHIN,SURAJIT MITRA (BADAL),TMC,112965,DR. SOURYA BANERJEE,BJP,103421,AYNUL AREFIN(RAJU AHMED),CPIM,23710,9544,250535,99.9
125,BASIRHAT UTTAR,MD. TAUSEFFUR RAHMAN,TMC,115503,MD. MUSA KAREMULLA,OTH,58233,KOUSHIK SIDHARTHA,BJP,55211,57270,238563,99.9
126,HINGALGANJ (SC),REKHA PATRA,BJP,100207,ANANDA SARKAR,TMC,94786,SANGITA MANDAL,CPIM,7205,5421,207071,99.9
127,GOSABA (SC),BIKARNA NASKAR,BJP,108492,SUBRATA MONDAL,TMC,92392,ADWAITYA JOTDAR,RSP,4221,16100,211328,99.9
128,BASANTI (SC),NILIMA MISTRY BISHAL,TMC,127495,BIKASH SARDAR,BJP,71314,ASIT ROY,OTH,25924,56181,231860,99.9
129,KULTALI (SC),GANESH CHANDRA MONDAL,TMC,146435,MADHABI MAHALDER,BJP,87159,RAMSANKAR HALDER,CPIM,13361,59276,253551,99.9
130,PATHARPRATIMA,SAMIR KUMAR JANA,TMC,117164,ASIT KUMAR HALDAR,BJP,112291,SATYARANJAN DAS,CPIM,11491,4873,246059,99.9
131,KAKDWIP,DIPANKAR JANA,BJP,109373,MANTURAM PAKHIRA,TMC,104613,NARAYAN DAS,CPIM,12129,4760,231303,99.9
132,SAGAR,SUMANTA MANDAL,BJP,127802,BANKIM CHANDRA HAZRA,TMC,119921,SWAPAN SINGHA,CPIM,7630,7881,258107,99.9
133,KULPI,BARNALI DHARA,TMC,91266,ABANI NASKAR,BJP,80883,ABDUL MALEQUE MOLLA,OTH,30052,10383,207706,99.9
134,RAIDIGHI,TAPAS MONDAL S/O-SHIBPRASAD MONDAL,TMC,118991,PALASH RANA,BJP,113034,SAMYA GANGULY,CPIM,19160,5957,257773,99.9
135,MANDIRBAZAR (SC),JOYDEB HALDER S/O - KARTICK CHANDRA HALDER,TMC,93686,MALLIKA PAIK W/O - ASHOK PAIK,BJP,91691,ASHOKE KUMAR GAYEN,OTH,21943,1995,213229,99.9
136,JAYNAGAR (SC),BISWANATH DAS,TMC,108194,ALOKE HALDER,BJP,81844,APURBA PRAMANIK (APU),CPIM,18151,26350,219107,99.9
137,BARUIPUR PURBA(SC),BIVAS SARDAR,TMC,120987,TUMPA SARDAR,BJP,89172,SWAPAN NASKAR,CPIM,19649,31815,237319,99.9
138,CANNING PASCHIM(SC),PARESH RAM DAS,TMC,120548,Prasanta Bayen,BJP,79883,PRABIR MONDAL,OTH,23908,40665,230686,99.9
139,CANNING PURBA,MD BAHARUL ISLAM,TMC,148687,ARABUL ISLAM,OTH,56733,ASHIM SANPUI,BJP,28593,91954,241664,99.9
140,BARUIPUR PASCHIM,BIMAN BANERJEE,TMC,104781,BISWAJIT PAUL,BJP,86919,MD LAHEK ALI,CPIM,23479,17862,221031,99.9
141,MAGRAHAT PURBA(SC),SARMISTHA PURKAIT,TMC,108412,UTTAM KUMAR BANIK,BJP,76805,CHANDAN SAHA,CPIM,29188,31607,222178,99.9
142,MAGRAHAT PASCHIM,MD. SAMIM AHAMED MOLLA,TMC,113834,GOURSUNDAR GHOSH,BJP,55331,ABDUL AZIZ AL HASSAN,OTH,28714,58503,205362,99.9
143,DIAMOND HARBOUR,PANNA LAL HALDER,TMC,119320,DIPAK KUMAR HALDER,BJP,88054,SAMAR NAIYA,CPIM,17594,31266,232238,99.9
145,SATGACHHIA,AGNISWAR NASKAR,BJP,111023,SOMASHREE BETAL,TMC,110622,GOUTAM PAL,CPIM,11736,401,239370,99.9
146,BISHNUPUR (SC),DILIP MONDAL,TMC,132647,ABHIJIT SARDAR,BJP,95722,SHYAMAL DAL,CPIM,13338,36925,250592,99.9
147,SONARPUR DAKSHIN,RUPA GANGULY,BJP,128970,ARUNDHUTI MAITRA(LOVELY),TMC,93188,PARAMITA DASGUPTA,CPIM,16784,35782,246393,99.9
148,BHANGAR,MD NAWSAD SIDDIQUE,OTH,126555,SAOKAT MOLLA,TMC,94467,JAYANTA GAYEN,BJP,30177,32088,267394,99.9
149,KASBA,AHMED JAVED KHAN,TMC,117893,BANERJEE SANDIP,BJP,96919,DIPU DAS,CPIM,20042,20974,241206,99.9
150,JADAVPUR,SARBORI MUKHERJEE,BJP,106199,DEBABRATA MAJUMDAR (MALAY),TMC,78483,BIKASHRANJAN BHATTACHARYA,CPIM,41148,27716,231075,99.9
151,SONARPUR UTTAR,DEBASISH DHAR,BJP,119824,FIRDOUSI BEGAM,TMC,110017,MONALISA SINHA,CPIM,19744,9807,256444,99.9
152,TOLLYGANJ,PAPIA ADHIKARY,BJP,88407,AROOP BISWAS,TMC,82394,PARTHA PRATIM BISWAS,CPIM,30335,6013,205661,99.9
153,BEHALA PURBA,SANKAR SIKDER,BJP,115502,SUBHASISH CHAKRABORTY,TMC,90365,DR NILAY MAJUMDAR,CPIM,21991,25137,234687,99.9
154,BEHALA PASCHIM,DR. INDRANIL KHAN,BJP,113171,RATNA CHATTERJEE,TMC,88472,NIHAR BHAKTA,CPIM,30676,24699,238796,99.9
155,MAHESHTALA,SUBHASIS DAS,TMC,116811,TAMANATH BHOWMICK,BJP,83898,SAYAN BANERJEE,CPIM,21222,32913,229791,99.9
156,BUDGE BUDGE,ASHOK KUMAR DEB,TMC,127091,DR TARUN KUMAR ADAK,BJP,80241,MUJIBAR RAHMAN KAYAL,INC,5323,46850,218093,99.9
157,METIABURUZ,ABDUL KHALEQUE MOLLA,TMC,124230,BIR BAHADUR SINGH,BJP,36351,MONIRUL ISLAM,CPIM,9567,87879,180068,99.9
158,KOLKATA PORT,FIRHAD HAKIM,TMC,101226,RAKESH SINGH,BJP,45146,FAIYAZ AHMAD KHAN,CPIM,2571,56080,154702,99.9
159,BHABANIPUR,ADHIKARI SUVENDU,BJP,73917,MAMATA BANERJEE,TMC,58812,SHRIJEEB BISWAS,CPIM,3556,15105,139413,99.9
160,RASHBEHARI,DASGUPTA SWAPAN,BJP,74123,DEBASISH KUMAR (DEBA),TMC,53258,MANAS GHOSH,OTH,5618,20865,138814,99.9
161,BALLYGUNGE,SOBHANDEB CHATTOPADHYAY,TMC,108481,SHATORUPA,BJP,47005,AFREEN BEGUM,CPIM,7185,61476,167384,99.9
162,CHOWRANGEE,BANDYOPADHYAY NAYNA,TMC,62938,SANTOSH KUMAR PATHAK,BJP,40936,SANJAY BASU,CPIM,2602,22002,110122,99.9
163,ENTALLY,SANDIPAN SAHA,TMC,94427,DR. PRIYANKA TIBREWAL,BJP,60421,ABDUL RAUF,CPIM,4904,34006,165207,99.9
164,BELEGHATA,KUNAL KUMAR GHOSH,TMC,93757,PARTHA CHAUDHURY,BJP,65181,PARAMITA ROY,CPIM,10525,28576,174108,99.9
165,JORASANKO,VIJAY OJHA,BJP,52868,VIJAY UPADHYAY,TMC,47071,BHARATRAM TEWARI,CPIM,4108,5797,106847,99.9
166,SHYAMPUKUR,PURNIMA CHAKRABORTY,BJP,60248,SHASHI PANJA,TMC,45615,JHUMA DAS,OTH,7356,14633,116768,99.9
